구분,,합계,전년도,성장률(%),서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,
대분류,소분류,,,,,,,,,,,,,,,,,,,,,
여행업,국외여행업,"7,568","7,468",1.3,"3,151",636,296,225,219,205,113,14,928,169,175,213,316,202,251,350,105,
여행업,국내여행업,"5,791","5,735",1,"1,222",448,271,208,208,185,108,13,711,178,196,232,297,267,300,355,592,
여행업,일반여행업,"2,009","1,949",3.1,"1,242",81,45,43,41,37,10,2,146,27,22,3,58,23,31,45,153,
여행업,소계,"15,368","15,152",1.4,"5,615","1,165",612,476,468,427,231,29,"1,785",374,393,448,671,492,582,750,850,
관광숙박업,관광호텔업,655,680,-3.7,157,49,20,25,18,18,9,0,91,39,22,19,25,20,48,41,54,
관광숙박업,수상관광호텔업,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
관광숙박업,한국전통호텔업,4,5,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,
관광숙박업,가족호텔업,72,70,2.9,4,2,0,0,0,1,0,0,1,10,1,1,5,9,2,10,26,
관광숙박업,휴양콘도미니엄업,182,180,1.1,0,4,0,1,0,0,0,0,16,59,8,14,5,6,14,11,44,
관광숙박업,호스텔업,28,28,0,0,3,0,0,0,1,0,0,1,0,0,3,0,1,1,0,18,
관광숙박업,소계,942,963,-2.2,161,58,20,26,18,20,9,0,109,108,31,37,35,39,66,62,143,
관광객이용시설업,전문휴양업,59,53,11.3,0,1,0,1,0,0,0,0,8,1,3,4,2,3,5,0,31,
관광객이용시설업,종합휴양업,25,22,13.6,2,1,1,0,0,0,0,0,4,8,2,2,1,2,0,2,0,
관광객이용시설업,자동차야영장업,35,21,66.7,0,1,0,2,0,0,0,0,7,4,0,4,2,5,5,4,1,
관광객이용시설업,관광유람선업,39,35,11.4,1,4,0,5,0,0,0,0,1,2,0,2,6,6,0,5,7,
관광객이용시설업,관광공연장업,13,8,62.5,3,1,1,0,0,0,0,0,5,0,0,0,1,0,0,0,2,
관광객이용시설업,외국인전용관광기념품판매업(15년 삭제),211,215,-1.9,105,23,1,16,0,0,1,0,19,0,0,0,0,0,5,1,40,
관광객이용시설업,소계,382,354,7.9,111,31,3,24,0,0,1,0,44,15,5,12,12,16,15,12,81,
국제회의업,국제회의시설업,7,8,-12.5,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,
국제회의업,국제회의기획업,482,457,5.5,339,27,16,5,5,23,4,0,15,5,3,0,2,0,3,8,27,
국제회의업,소계,489,465,5.2,340,28,17,5,6,24,4,0,15,5,3,0,2,0,3,9,28,
카지노업,카지노업,17,17,0,3,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,8,
카지노업,소계,17,17,0,3,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,8,
유원시설업,유원시설업,329,300,9.7,18,17,15,11,4,6,7,1,63,37,19,23,16,31,20,26,15,
유원시설업,소계,329,300,9.7,18,17,15,11,4,6,7,1,63,37,19,23,16,31,20,26,15,
관광편의시설업,관광유흥음식점업,84,38,121.1,18,4,7,1,1,4,0,0,16,0,5,9,3,0,10,3,3,
관광편의시설업,외국인전용유흥음식점업,450,383,17.5,3,17,35,4,3,3,23,0,263,2,1,0,15,1,25,48,7,
관광편의시설업,관광식당업,"1,863","1,847",0.9,660,154,20,96,45,83,51,0,435,36,26,36,52,13,18,67,71,
관광편의시설업,관광순환버스업(시내순환관광업)(16년 명칭변경),26,23,13,2,1,2,1,0,1,1,0,1,6,0,0,1,2,3,5,0,
관광편의시설업,관광사진업,19,17,11.8,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,
관광편의시설업,여객자동차터미널시설업,3,7,-57.1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,
관광편의시설업,관광펜션업,407,390,4.4,0,2,0,6,0,0,0,0,31,77,12,72,23,21,51,66,46,
관광편의시설업,관광극장유흥업,164,181,-9.4,30,14,8,14,5,8,3,0,45,6,2,0,8,5,5,9,2,
관광편의시설업,관광궤도(삭도)업,10,12,-16.7,0,1,1,0,0,0,0,0,2,6,0,0,0,0,0,0,0,
관광편의시설업,한옥체험업,668,608,9.9,68,0,7,3,1,0,1,0,15,20,18,18,65,203,202,47,0,
관광편의시설업,"외국인관광 도시 민박업(12년 신설, 16년 분류변경)",475,334,42.2,250,46,12,24,9,2,3,0,94,2,0,0,8,10,14,1,0,
관광편의시설업,소계,"4,169","3,840",8.6,"1,047",240,92,149,64,101,82,0,904,155,64,136,175,256,328,246,130,
총계,,"21,696","21,091",2.9,"7,295","1,541",760,692,560,578,334,30,"2,920",696,515,656,911,834,"1,014","1,105","1,255",
,,,,,,,,,,,,,,,,,,,,,,
