시도,군구,관광지,구분,세부구분,내/외국인,총계(2006.01 ~ 2006.09),2006년,,,,,,,,,
대전광역시,동구,만인산자연휴양림,무료,추정,내국인,207150 ,207150 ,6360 ,4060 ,10130 ,24400 ,33280 ,31950 ,33570 ,31480 ,31920 
대전광역시,동구,만인산자연휴양림,무료,추정,합계,207150 ,207150 ,6360 ,4060 ,10130 ,24400 ,33280 ,31950 ,33570 ,31480 ,31920 
대전광역시,동구,세천유원지,무료,추정,내국인,106210 ,106210 ,5030 ,3620 ,8335 ,11500 ,11170 ,11535 ,18070 ,17810 ,19140 
대전광역시,동구,세천유원지,무료,추정,합계,106210 ,106210 ,5030 ,3620 ,8335 ,11500 ,11170 ,11535 ,18070 ,17810 ,19140 
대전광역시,동구,식장산,무료,추정,내국인,141170 ,141170 ,6880 ,5940 ,10465 ,24800 ,22455 ,19890 ,16790 ,16850 ,17100 
대전광역시,동구,식장산,무료,추정,합계,141170 ,141170 ,6880 ,5940 ,10465 ,24800 ,22455 ,19890 ,16790 ,16850 ,17100 
대전광역시,동구,우암사적공원,무료,추정,내국인,106951 ,106951 ,7463 ,7120 ,12568 ,18150 ,15830 ,12135 ,11470 ,11070 ,11145 
대전광역시,동구,우암사적공원,무료,추정,합계,106951 ,106951 ,7463 ,7120 ,12568 ,18150 ,15830 ,12135 ,11470 ,11070 ,11145 
대전광역시,중구,대전동물원,유료,측정,내국인,654639 ,654639 ,21307 ,33160 ,45106 ,142044 ,156764 ,60898 ,49172 ,73484 ,72704 
대전광역시,중구,대전동물원,유료,측정,외국인,24994 ,24994 ,659 ,1382 ,1879 ,4393 ,6532 ,2537 ,1521 ,3062 ,3029 
대전광역시,중구,대전동물원,유료,측정,합계,679633 ,679633 ,21966 ,34542 ,46985 ,146437 ,163296 ,63435 ,50693 ,76546 ,75733 
대전광역시,중구,뿌리공원,무료,추정,내국인,491773 ,491773 ,19649 ,22738 ,34473 ,75000 ,115005 ,82004 ,48058 ,57199 ,37647 
대전광역시,중구,뿌리공원,무료,추정,합계,491773 ,491773 ,19649 ,22738 ,34473 ,75000 ,115005 ,82004 ,48058 ,57199 ,37647 
대전광역시,서구,쉐라톤관광호텔,유료,측정,내국인,10390 ,10390 ,90 ,50 ,50 ,30 ,2170 ,2050 ,2200 ,1700 ,2050 
대전광역시,서구,쉐라톤관광호텔,유료,측정,외국인,33 ,33 ,9 ,2 ,4 ,4 ,2 ,2 ,3 ,5 ,2 
대전광역시,서구,쉐라톤관광호텔,유료,측정,합계,10423 ,10423 ,99 ,52 ,54 ,34 ,2172 ,2052 ,2203 ,1705 ,2052 
대전광역시,서구,조이관광호텔,유료,측정,내국인,5600 ,5600 ,-,-,-,1000 ,1000 ,900 ,950 ,900 ,850 
대전광역시,서구,조이관광호텔,유료,측정,외국인,285 ,285 ,-,-,-,45 ,40 ,40 ,60 ,45 ,55 
대전광역시,서구,조이관광호텔,유료,측정,합계,5885 ,5885 ,-,-,-,1045 ,1040 ,940 ,1010 ,945 ,905 
대전광역시,서구,장태산 자연휴양림,무료,추정,내국인,188280 ,188280 ,1673 ,1928 ,2841 ,15630 ,52349 ,51999 ,21708 ,40152 ,-
대전광역시,서구,장태산 자연휴양림,무료,추정,합계,188280 ,188280 ,1673 ,1928 ,2841 ,15630 ,52349 ,51999 ,21708 ,40152 ,-
대전광역시,유성구,㈜제이에이치레전드호텔,유료,측정,내국인,629630 ,629630 ,11145 ,50420 ,62558 ,102213 ,99054 ,81356 ,80893 ,68881 ,73110 
대전광역시,유성구,㈜제이에이치레전드호텔,유료,측정,외국인,572 ,572 ,36 ,38 ,50 ,65 ,55 ,45 ,93 ,75 ,115 
대전광역시,유성구,㈜제이에이치레전드호텔,유료,측정,합계,630202 ,630202 ,11181 ,50458 ,62608 ,102278 ,99109 ,81401 ,80986 ,68956 ,73225 
대전광역시,유성구,갤러리관광호텔,유료,측정,내국인,701 ,701 ,98 ,72 ,61 ,71 ,62 ,65 ,272 ,0 ,0 
대전광역시,유성구,갤러리관광호텔,유료,측정,외국인,3 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 
대전광역시,유성구,갤러리관광호텔,유료,측정,합계,704 ,704 ,98 ,72 ,61 ,71 ,62 ,65 ,275 ,0 ,0 
대전광역시,유성구,국립중앙과학관,유료,측정,내국인,795470 ,795470 ,38613 ,69034 ,100561 ,174656 ,158372 ,93468 ,40249 ,63935 ,56582 
대전광역시,유성구,국립중앙과학관,유료,측정,외국인,777 ,777 ,0 ,0 ,0 ,10 ,18 ,17 ,239 ,343 ,150 
대전광역시,유성구,국립중앙과학관,유료,측정,합계,796247 ,796247 ,38613 ,69034 ,100561 ,174666 ,158390 ,93485 ,40488 ,64278 ,56732 
대전광역시,유성구,꿈돌이랜드,유료,측정,내국인,657456 ,657456 ,78181 ,40824 ,31386 ,87716 ,110070 ,32892 ,80632 ,129773 ,65982 
대전광역시,유성구,꿈돌이랜드,유료,측정,외국인,36475 ,36475 ,4202 ,2104 ,1722 ,4617 ,7465 ,1371 ,4333 ,7552 ,3109 
대전광역시,유성구,꿈돌이랜드,유료,측정,합계,693931 ,693931 ,82383 ,42928 ,33108 ,92333 ,117535 ,34263 ,84965 ,137325 ,69091 
대전광역시,유성구,로얄관광호텔,유료,측정,내국인,33561 ,33561 ,347 ,372 ,378 ,27919 ,375 ,310 ,1730 ,730 ,1400 
대전광역시,유성구,로얄관광호텔,유료,측정,외국인,7677 ,7677 ,15 ,9 ,19 ,7559 ,48 ,27 ,0 ,0 ,0 
대전광역시,유성구,로얄관광호텔,유료,측정,합계,41238 ,41238 ,362 ,381 ,397 ,35478 ,423 ,337 ,1730 ,730 ,1400 
대전광역시,유성구,알프스관광호텔,유료,측정,내국인,310 ,310 ,0 ,0 ,0 ,310 ,-,-,-,-,-
대전광역시,유성구,알프스관광호텔,유료,측정,외국인,0 ,0 ,0 ,0 ,0 ,0 ,-,-,-,-,-
대전광역시,유성구,알프스관광호텔,유료,측정,합계,310 ,310 ,0 ,0 ,0 ,310 ,-,-,-,-,-
대전광역시,유성구,엑스포과학공원,유료,측정,내국인,1268165 ,1268165 ,51085 ,263081 ,306511 ,60000 ,106383 ,49036 ,50513 ,316470 ,65086 
대전광역시,유성구,엑스포과학공원,유료,측정,외국인,52941 ,52941 ,0 ,21068 ,31026 ,102 ,10 ,191 ,283 ,154 ,107 
대전광역시,유성구,엑스포과학공원,유료,측정,합계,1321106 ,1321106 ,51085 ,284149 ,337537 ,60102 ,106393 ,49227 ,50796 ,316624 ,65193 
대전광역시,유성구,유성코리아온천관광호텔,유료,측정,내국인,10170 ,10170 ,610 ,498 ,5360 ,680 ,780 ,570 ,604 ,498 ,570 
대전광역시,유성구,유성코리아온천관광호텔,유료,측정,외국인,28 ,28 ,0 ,0 ,0 ,0 ,1 ,1 ,2 ,21 ,3 
대전광역시,유성구,유성코리아온천관광호텔,유료,측정,합계,10198 ,10198 ,610 ,498 ,5360 ,680 ,781 ,571 ,606 ,519 ,573 
대전광역시,유성구,유성호텔,유료,측정,내국인,683904 ,683904 ,10961 ,101161 ,99799 ,96007 ,93604 ,82500 ,75823 ,59228 ,64821 
대전광역시,유성구,유성호텔,유료,측정,외국인,219073 ,219073 ,7199 ,11842 ,15440 ,110473 ,12061 ,13879 ,9996 ,17659 ,20524 
대전광역시,유성구,유성호텔,유료,측정,합계,902977 ,902977 ,18160 ,113003 ,115239 ,206480 ,105665 ,96379 ,85819 ,76887 ,85345 
대전광역시,유성구,호텔 인터시티,유료,측정,내국인,555225 ,555225 ,15583 ,35665 ,34000 ,344483 ,29635 ,22420 ,24110 ,23338 ,25991 
대전광역시,유성구,호텔 인터시티,유료,측정,외국인,43861 ,43861 ,3000 ,2836 ,4522 ,4455 ,4155 ,4203 ,6022 ,7313 ,7355 
대전광역시,유성구,호텔 인터시티,유료,측정,합계,599086 ,599086 ,18583 ,38501 ,38522 ,348938 ,33790 ,26623 ,30132 ,30651 ,33346 
