연도,변동사유발생연월일,판매업의종류,구분,업체명,소재지
2009,20090102,주유소,휴업,고암주유소,경기도 양주시 고암동 264-5
2009,20090102,일반판매소,폐업,대동석유,경상남도 진주시 하대동 313-12
2009,20090102,주유소,신규등록,대섬주유소,"제주특별자치도 제주시 조천읍 신촌리 540-3,7"
2009,20090102,주유소,신규등록,마영주유소,경기도 안성시 미양면 마산리 210-6
2009,20090102,주유소,신규,문의주유소,충청북도 청원군 문의면 남계리 155-4
2009,20090102,주유소,신규,원동주유소,경상북도 포항시 남구 오천읍 원리 238B 1-1L
2009,20090102,주유소,휴업,협성주유소,충청북도 제천시 장락동 469-7
2009,20090103,주유소,휴업,의병주유소,경상남도 의령군 대의면 다사리 645
2009,20090105,일반대리점,신규,(주)경남에너지,경상남도 사천시 서동 332-68
2009,20090105,용제판매소,신규,길전화학,경상북도 영천시 도남동 621
2009,20090105,주유소,폐업,내고향주유소,경상북도 김천시 아포읍 인리 68-1
2009,20090105,주유소,신규등록,서탄에너지(주),경기도 평택시 서탄면 수월암리 244-1
2009,20090105,주유소,폐업,우석주유소,경상북도 울진군 기성면 망양리 161-2
2009,20090105,주유소,개시,원동주유소,경상북도 포항시 남구 오천읍 원리 238B 1-1L
2009,20090106,일반대리점,등록,(주)원에너지,인천광역시 서구 가좌동 173-356
2009,20090106,주유소,신규등록,덕성관리주유소,경기도 화성시 향남읍 관리 53
2009,20090106,주유소,등록,부자주유소,부산광역시 해운대구 좌동 996-2
2009,20090106,주유소,휴업,영일주유소,충청남도 당진군 당진읍 구룡리 32-5
2009,20090106,일반판매소,폐업,해양석유,경상남도 마산시 회원1동 2-5
2009,20090107,주유소,폐업,남원농협새한주유소,전라북도 남원시 사매면 월평리289-67
2009,20090107,주유소,신규등록,봉담신도시주유소,경기도 화성시 봉담읍 수리기 11-44
2009,20090107,주유소,신규,부동주유소,경상북도 청송군 부동면 이전리 576-4
2009,20090107,일반대리점,폐업,엔에이글로벌(주),경기도 고양시 일산동구 사리현동 659-29 2층
2009,20090107,주유소,신규,완도주유소,전라남도 완도군 완도읍 가용리 841
2009,20090107,일반판매소,휴업,황악석유,경상북도 김천시 평돠동 333-9
2009,20090108,일반대리점,폐업,다나에너지(주),부산광역시 영도구 대교동1가 77번지 302호
2009,20090108,주유소,신규,대정에너지,충청북도 보은군 보은읍 교사리 25-1
2009,20090108,주유소,등록,메트로다솜주유소,"인천광역시 남동구 도림동 344-6,7"
2009,20090108,주유소,신규등록,월곶신도시주유소,경기도 시흥시 정왕동 1773
2009,20090108,주유소,휴업,의병주유소,경상남도 의령군 대의면 다사리 645 
2009,20090109,주유소,휴업사업재개,경인주유소,인천광역시 서구 원창동 21-14
2009,20090109,부생연료유판매소,신규,대성상사,충청북도 음성군 금왕읍 오선리 284-3
2009,20090109,주유소,신규등록,혜인주유소,경기도 용인시 기흥구 중동 631-1
2009,20090109,주유소,신규등록,화성제일주유소,대구광역시 서구 비산동 372-1
2009,20090112,주유소,신규,SK동행주유소,경상북도 칠곡군 왜관읍 금산리 860-22
2009,20090112,주유소,신규,남춘천IC주유소,강원도 춘천시 남산면 광판리 129-4
2009,20090112,주유소,휴업,연화관광주유소,경상북도 김천시 대덕면 연화리 402
2009,20090112,주유소,휴업,주식회사화,울산광역시 중구 태화동 122-2
2009,20090112,일반대리점,폐업,천강석유(주),인천광역시 계양구 작전동 854-3
2009,20090113,일반대리점,신규등록,(주)남광기업,부산광역시 서구 부민동1가 10-2 202호
2009,20090113,주유소,신규등록,관저Ⅱ주유소,대전광역시 서구 관저동 469-7
2009,20090113,부생연료유판매소,개시,도원에너지,경상북도 칠곡군 왜관읍 삼청리 266-4
