구분,관광호텔,관광호텔,관광호텔,관광호텔,관광호텔,관광호텔,가족호텔,가족호텔,호스텔,호스텔,휴양콘도미니엄 소계,휴양콘도미니엄 소계
서울,18,"9,399",25,"5,924",33,"3,656",7,"1,504",0,0,0,0
부산,5,"2,239",6,"1,037",12,"1,160",1,17,0,0,4,"1,385"
대구,3,696,6,674,3,147,0,0,0,0,0,0
인천,3,"1,020",6,"1,380",2,135,1,30,0,0,1,150
광주,1,120,2,198,7,440,0,0,0,0,0,0
대전,1,174,2,393,7,476,0,0,0,0,0,0
울산,2,495,0,0,0,0,1,35,0,0,0,0
경기,1,232,5,744,23,"1,766",1,52,0,0,15,"3,021"
강원,4,957,8,"1,278",10,659,6,459,0,0,55,"17,378"
충북,1,328,1,180,16,"1,137",1,52,0,0,7,"1,782"
충남,0,0,3,467,2,158,1,100,0,0,10,"1,784"
전북,1,118,2,277,5,419,4,"1,939",0,0,7,815
전남,1,208,2,104,8,541,7,401,0,0,6,819
경북,6,"1,776",2,401,14,921,0,0,0,0,14,"2,669"
경남,2,401,3,419,12,"1,067",7,550,0,0,8,"1,338"
제주,12,"3,622",5,507,18,"1,600",15,839,0,0,37,"4,138"
