구분,,,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,합계,
호텔,등급,구분,,,,,,,,,,,,,,,,,,
관광호텔,특1급,업체수,18,5,3,3,1,1,2,1,4,1,0,1,1,6,2,12,61,
관광호텔,특1급,객실수,"9,399","2,239",696,"1,020",120,174,495,232,957,328,0,118,208,"1,776",401,"3,622","21,785",
관광호텔,특2급,업체수,25,6,6,6,2,2,0,5,8,1,3,2,2,2,3,5,78,
관광호텔,특2급,객실수,"5,924","1,037",674,"1,380",198,393,0,744,"1,278",180,467,277,104,401,419,507,"13,983",
관광호텔,1급,업체수,33,12,3,2,7,7,0,23,10,16,2,5,8,14,12,18,172,
관광호텔,1급,객실수,"3,656","1,160",147,135,440,476,0,"1,766",659,"1,137",158,419,541,921,"1,067","1,600","14,282",
관광호텔,2급,업체수,23,12,0,11,5,7,2,16,5,1,7,6,7,6,7,5,120,
관광호텔,2급,객실수,"1,412",584,0,506,197,255,146,767,234,30,319,293,320,372,361,284,"6,080",
관광호텔,3급,업체수,13,12,0,8,2,4,1,13,1,4,0,0,4,7,4,2,75,
관광호텔,3급,객실수,666,962,0,330,75,193,75,716,34,133,0,0,159,342,199,123,"4,007",
관광호텔,등급미정,업체수,18,3,11,9,3,2,2,23,7,0,5,0,5,11,7,9,115,
관광호텔,등급미정,객실수,"1,303",467,637,417,113,119,65,"1,204",820,0,238,0,252,539,320,540,"7,034",
관광호텔,계,업체수,130,50,23,39,20,23,7,81,35,23,17,14,27,46,35,51,621,
관광호텔,계,객실수,"22,360","6,449","2,154","3,788","1,143","1,610",781,"5,429","3,982","1,808","1,182","1,107","1,584","4,351","2,767","6,676","67,171",
수상 관광호텔,   ,업체수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
수상 관광호텔,   ,객실수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
가족호텔, ,업체수,7,1,0,1,0,0,1,1,6,1,1,4,7,0,7,15,52,
가족호텔, ,객실수,"1,504",17,0,30,0,0,35,52,459,52,100,"1,939",401,0,550,839,"5,978",
전통호텔,  ,업체수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
전통호텔,  ,객실수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,
호스텔,    ,업체수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
호스텔,    ,객실수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
소계,     ,업체수,7,1,0,1,0,0,1,1,6,1,1,4,7,0,7,16,53,
소계,     ,객실수,"1,504",17,0,30,0,0,35,52,459,52,100,"1,939",401,0,550,865,"6,004",
호텔업 소계,      ,업체수,137,51,23,40,20,23,8,82,41,24,18,18,34,46,42,67,674,
호텔업 소계,      ,객실수,"23,864","6,466","2,154","3,818","1,143","1,610",816,"5,481","4,441","1,860","1,282","3,046","1,985","4,351","3,317","7,541","73,175",
휴양콘도미니엄 소계,       ,업체수,0,4,0,1,0,0,0,15,55,7,10,7,6,14,8,37,164,
휴양콘도미니엄 소계,       ,객실수,0,"1,385",0,150,0,0,0,"3,021","17,378","1,782","1,784",815,819,"2,669","1,338","4,138","35,279",
총계,        ,업체수,137,55,23,41,20,23,8,97,96,31,28,25,40,60,50,104,838,
총계,        ,객실수,"23,864","7,851","2,154","3,968","1,143","1,610",816,"8,502","21,819","3,642","3,066","3,861","2,804","7,020","4,655","11,679","108,454",
