구분,,,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,합계
호텔,등급,구분,,,,,,,,,,,,,,,,,
관광호텔,특1급,업체수,22,7,4,3,2,1,2,4,7,1,0,1,3,5,2,11,75
관광호텔,특1급,객실수,"10,742","2,626",999,"1,020",325,174,463,"1,072","1,871",328,0,118,650,"1,627",487,"3,447","25,949"
관광호텔,특2급,업체수,31,5,5,6,2,2,1,6,6,1,4,3,3,4,4,5,88
관광호텔,특2급,객실수,"6,891",691,342,"1,402",198,394,75,"1,047","1,066",180,568,459,256,691,478,517,"15,255"
관광호텔,1급,업체수,42,16,8,2,5,7,0,25,13,12,2,6,12,14,13,12,189
관광호텔,1급,객실수,"4,811","1,551",406,127,305,427,0,"2,007",827,898,105,517,784,909,"1,035","1,070","15,779"
관광호텔,2급,업체수,22,10,1,11,5,2,2,16,4,1,8,9,3,9,7,4,114
관광호텔,2급,객실수,"1,336",455,65,553,249,60,144,835,199,30,366,435,149,515,360,250,"6,001"
관광호텔,3급,업체수,15,11,1,12,0,5,0,21,2,5,1,6,2,7,4,1,93
관광호텔,3급,객실수,739,"1,519",33,552,0,237,0,"1,176",114,184,50,220,122,314,151,95,"5,506"
관광호텔,등급미정,업체수,46,2,0,15,4,2,5,27,7,2,2,2,10,9,12,30,175
관광호텔,등급미정,객실수,"3,823",108,0,703,157,113,242,"1,426",630,77,104,97,444,370,524,"2,085","10,903"
관광호텔,계,업체수,178,51,19,49,18,19,10,99,39,22,17,27,33,48,42,63,734
관광호텔,계,객실수,"28,342","6,950","1,845","4,357","1,234","1,405",924,"7,563","4,707","1,697","1,193","1,846","2,405","4,426","3,035","7,464","79,393"
수상 관광호텔,   ,업체수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
수상 관광호텔,   ,객실수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
가족호텔, ,업체수,8,0,0,1,0,1,1,1,11,1,2,5,9,1,12,35,88
가족호텔, ,객실수,"1,367",0,0,30,0,80,35,52,848,52,131,"2,051",460,90,779,"1,916","7,891"
전통호텔,  ,업체수,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,4
전통호텔,  ,객실수,0,0,0,44,0,0,0,0,0,0,0,0,21,16,0,26,107
호스텔,    ,업체수,5,3,0,6,0,0,0,1,1,0,1,1,4,1,0,47,70
호스텔,    ,객실수,119,46,0,120,0,0,0,31,21,0,10,17,66,21,0,"1,116","1,567"
소계,     ,업체수,13,3,0,8,0,1,1,2,12,1,3,6,14,3,12,83,162
소계,     ,객실수,"1,486",46,0,194,0,80,35,83,869,52,141,"2,068",547,127,779,"3,058","9,565"
호텔업 소계,      ,업체수,191,54,19,57,18,20,11,101,51,23,20,33,47,51,54,146,896
호텔업 소계,      ,객실수,"29,828","6,996","1,845","4,551","1,234","1,485",959,"7,646","5,576","1,749","1,334","3,914","2,952","4,553","3,814","10,522","88,958"
휴양콘도미니엄 소계,       ,업체수,0,4,0,2,0,0,0,16,60,8,15,6,8,16,12,45,192
휴양콘도미니엄 소계,       ,객실수,0,"1,385",0,351,0,0,0,"3,204","19,415","2,180","2,679",763,"1,062","2,930","1,949","5,743","41,661"
총계,        ,업체수,191,58,19,59,18,20,11,117,111,31,35,39,55,67,66,191,"1,088"
총계,        ,객실수,"29,828","8,381","1,845","4,902","1,234","1,485",959,"10,850","24,991","3,929","4,013","4,677","4,014","7,483","5,763","16,265","130,619"
