 시도 ,군구,관광지,구분,세부구분,내/외국인,총계(2013.01 ~ 2013.12),2013년,,,,,,,,,,,,
,,,,,,,인원계,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월
대전광역시,동구,한밭교육박물관,무료,측정,내국인,37185,37185,3718,1466,1812,3486,2335,2663,2470,4140,7119,2743,3766,1467
대전광역시,동구,한밭교육박물관,무료,측정,합계,37185,37185,3718,1466,1812,3486,2335,2663,2470,4140,7119,2743,3766,1467
대전광역시,중구,대전동물원,유료,측정,내국인,1202540,1202540,27021,33050,123103,144151,219020,105733,66757,90270,103979,190428,62541,36487
대전광역시,중구,대전동물원,유료,측정,외국인,183,183,27,33,123,0,0,0,0,0,0,0,0,0
대전광역시,중구,대전동물원,유료,측정,합계,1202723,1202723,27048,33083,123226,144151,219020,105733,66757,90270,103979,190428,62541,36487
대전광역시,중구,뿌리공원,유료,측정,내국인,425389,425389,-,-,-,-,-,-,-,-,58663,294630,47405,24691
대전광역시,중구,뿌리공원,유료,측정,외국인,1467,1467,-,-,-,-,-,-,-,-,583,518,266,100
대전광역시,중구,뿌리공원,유료,측정,합계,426856,426856,-,-,-,-,-,-,-,-,59246,295148,47671,24791
대전광역시,유성구,국립중앙과학관,유료,측정,내국인,1151131,1151131,90987,68603,77790,140613,130455,87357,86107,118429,71610,132776,80870,65534
대전광역시,유성구,국립중앙과학관,유료,측정,외국인,0,0,-,-,-,-,-,-,-,-,-,0,0,0
대전광역시,유성구,국립중앙과학관,유료,측정,합계,1151131,1151131,90987,68603,77790,140613,130455,87357,86107,118429,71610,132776,80870,65534
대전광역시,유성구,엑스포과학공원,유료,측정,내국인,1017446,1017446,29027,17734,36437,36335,209774,26533,43260,185699,36860,317596,41639,36552
대전광역시,유성구,엑스포과학공원,유료,측정,외국인,0,0,-,-,-,-,-,-,-,-,-,0,0,0
대전광역시,유성구,엑스포과학공원,유료,측정,합계,1017446,1017446,29027,17734,36437,36335,209774,26533,43260,185699,36860,317596,41639,36552
대전광역시,유성구,유성유스호스텔,유료,측정,내국인,54747,54747,2356,1625,1645,2310,2934,1947,15470,18089,3317,2326,1682,1046
대전광역시,유성구,유성유스호스텔,유료,측정,외국인,0,0,-,-,-,-,-,-,-,-,-,0,0,0
대전광역시,유성구,유성유스호스텔,유료,측정,합계,54747,54747,2356,1625,1645,2310,2934,1947,15470,18089,3317,2326,1682,1046
대전광역시,유성구,계룡산 수통골,무료,측정,내국인,636217,636217,33316,34368,71887,45631,67434,67050,30912,53199,50064,69903,71683,40770
대전광역시,유성구,계룡산 수통골,무료,측정,합계,636217,636217,33316,34368,71887,45631,67434,67050,30912,53199,50064,69903,71683,40770
대전광역시,유성구,솔로몬 로파크,무료,측정,내국인,21555,21555,-,-,-,-,-,-,-,-,-,-,-,21555
대전광역시,유성구,솔로몬 로파크,무료,측정,합계,21555,21555,-,-,-,-,-,-,-,-,-,-,-,21555
대전광역시,유성구,지질박물관,무료,측정,내국인,73357,73357,6125,4315,4745,6035,6760,5028,7314,9418,4653,8118,6218,4628
대전광역시,유성구,지질박물관,무료,측정,합계,73357,73357,6125,4315,4745,6035,6760,5028,7314,9418,4653,8118,6218,4628
대전광역시,유성구,화폐박물관,무료,측정,내국인,243733,243733,16040,23940,41700,24580,27740,18745,17009,18351,11328,14763,15749,13788
대전광역시,유성구,화폐박물관,무료,측정,합계,243733,243733,16040,23940,41700,24580,27740,18745,17009,18351,11328,14763,15749,13788
